,lig_id,pro_id,dests,score
0,1,687,./processed_data/pro_lig_2_voxels/train/0687_pro_0001_lig.npy,0
1,1,245,./processed_data/pro_lig_2_voxels/train/0245_pro_0001_lig.npy,0
2,1,106,./processed_data/pro_lig_2_voxels/train/0106_pro_0001_lig.npy,0
3,1,831,./processed_data/pro_lig_2_voxels/train/0831_pro_0001_lig.npy,0
4,1,1,./processed_data/pro_lig_2_voxels/train/0001_pro_0001_lig.npy,1
5,2,39,./processed_data/pro_lig_2_voxels/train/0039_pro_0002_lig.npy,0
6,2,481,./processed_data/pro_lig_2_voxels/train/0481_pro_0002_lig.npy,0
7,2,199,./processed_data/pro_lig_2_voxels/train/0199_pro_0002_lig.npy,0
8,2,52,./processed_data/pro_lig_2_voxels/train/0052_pro_0002_lig.npy,0
9,2,2,./processed_data/pro_lig_2_voxels/train/0002_pro_0002_lig.npy,1
10,3,725,./processed_data/pro_lig_2_voxels/train/0725_pro_0003_lig.npy,0
11,3,865,./processed_data/pro_lig_2_voxels/train/0865_pro_0003_lig.npy,0
12,3,511,./processed_data/pro_lig_2_voxels/train/0511_pro_0003_lig.npy,0
13,3,82,./processed_data/pro_lig_2_voxels/train/0082_pro_0003_lig.npy,0
14,3,3,./processed_data/pro_lig_2_voxels/train/0003_pro_0003_lig.npy,1
15,4,167,./processed_data/pro_lig_2_voxels/train/0167_pro_0004_lig.npy,0
16,4,630,./processed_data/pro_lig_2_voxels/train/0630_pro_0004_lig.npy,0
17,4,536,./processed_data/pro_lig_2_voxels/train/0536_pro_0004_lig.npy,0
18,4,342,./processed_data/pro_lig_2_voxels/train/0342_pro_0004_lig.npy,0
19,4,4,./processed_data/pro_lig_2_voxels/train/0004_pro_0004_lig.npy,1
20,5,786,./processed_data/pro_lig_2_voxels/train/0786_pro_0005_lig.npy,0
21,5,448,./processed_data/pro_lig_2_voxels/train/0448_pro_0005_lig.npy,0
22,5,437,./processed_data/pro_lig_2_voxels/train/0437_pro_0005_lig.npy,0
23,5,337,./processed_data/pro_lig_2_voxels/train/0337_pro_0005_lig.npy,0
24,5,5,./processed_data/pro_lig_2_voxels/train/0005_pro_0005_lig.npy,1
25,6,375,./processed_data/pro_lig_2_voxels/train/0375_pro_0006_lig.npy,0
26,6,399,./processed_data/pro_lig_2_voxels/train/0399_pro_0006_lig.npy,0
27,6,161,./processed_data/pro_lig_2_voxels/train/0161_pro_0006_lig.npy,0
28,6,20,./processed_data/pro_lig_2_voxels/train/0020_pro_0006_lig.npy,0
29,6,6,./processed_data/pro_lig_2_voxels/train/0006_pro_0006_lig.npy,1
30,7,449,./processed_data/pro_lig_2_voxels/train/0449_pro_0007_lig.npy,0
31,7,149,./processed_data/pro_lig_2_voxels/train/0149_pro_0007_lig.npy,0
32,7,889,./processed_data/pro_lig_2_voxels/train/0889_pro_0007_lig.npy,0
33,7,583,./processed_data/pro_lig_2_voxels/train/0583_pro_0007_lig.npy,0
34,7,7,./processed_data/pro_lig_2_voxels/train/0007_pro_0007_lig.npy,1
35,8,265,./processed_data/pro_lig_2_voxels/train/0265_pro_0008_lig.npy,0
36,8,628,./processed_data/pro_lig_2_voxels/train/0628_pro_0008_lig.npy,0
37,8,756,./processed_data/pro_lig_2_voxels/train/0756_pro_0008_lig.npy,0
38,8,624,./processed_data/pro_lig_2_voxels/train/0624_pro_0008_lig.npy,0
39,8,8,./processed_data/pro_lig_2_voxels/train/0008_pro_0008_lig.npy,1
40,9,512,./processed_data/pro_lig_2_voxels/train/0512_pro_0009_lig.npy,0
41,9,205,./processed_data/pro_lig_2_voxels/train/0205_pro_0009_lig.npy,0
42,9,844,./processed_data/pro_lig_2_voxels/train/0844_pro_0009_lig.npy,0
43,9,703,./processed_data/pro_lig_2_voxels/train/0703_pro_0009_lig.npy,0
44,9,9,./processed_data/pro_lig_2_voxels/train/0009_pro_0009_lig.npy,1
45,10,779,./processed_data/pro_lig_2_voxels/train/0779_pro_0010_lig.npy,0
46,10,813,./processed_data/pro_lig_2_voxels/train/0813_pro_0010_lig.npy,0
47,10,22,./processed_data/pro_lig_2_voxels/train/0022_pro_0010_lig.npy,0
48,10,202,./processed_data/pro_lig_2_voxels/train/0202_pro_0010_lig.npy,0
49,10,10,./processed_data/pro_lig_2_voxels/train/0010_pro_0010_lig.npy,1
50,11,628,./processed_data/pro_lig_2_voxels/train/0628_pro_0011_lig.npy,0
51,11,125,./processed_data/pro_lig_2_voxels/train/0125_pro_0011_lig.npy,0
52,11,394,./processed_data/pro_lig_2_voxels/train/0394_pro_0011_lig.npy,0
53,11,310,./processed_data/pro_lig_2_voxels/train/0310_pro_0011_lig.npy,0
