lig_id,pro_id,dests,score
1,1275,./data/processed_data/pro_lig_voxels/train/1275_pro_0001_lig.npy,0
1,1931,./data/processed_data/pro_lig_voxels/train/1931_pro_0001_lig.npy,0
1,89,./data/processed_data/pro_lig_voxels/train/0089_pro_0001_lig.npy,0
1,415,./data/processed_data/pro_lig_voxels/train/0415_pro_0001_lig.npy,0
1,1,./data/processed_data/pro_lig_voxels/train/0001_pro_0001_lig.npy,1
2,2006,./data/processed_data/pro_lig_voxels/train/2006_pro_0002_lig.npy,0
2,1929,./data/processed_data/pro_lig_voxels/train/1929_pro_0002_lig.npy,0
2,567,./data/processed_data/pro_lig_voxels/train/0567_pro_0002_lig.npy,0
2,497,./data/processed_data/pro_lig_voxels/train/0497_pro_0002_lig.npy,0
2,2,./data/processed_data/pro_lig_voxels/train/0002_pro_0002_lig.npy,1
3,553,./data/processed_data/pro_lig_voxels/train/0553_pro_0003_lig.npy,0
3,612,./data/processed_data/pro_lig_voxels/train/0612_pro_0003_lig.npy,0
3,1237,./data/processed_data/pro_lig_voxels/train/1237_pro_0003_lig.npy,0
3,2634,./data/processed_data/pro_lig_voxels/train/2634_pro_0003_lig.npy,0
3,3,./data/processed_data/pro_lig_voxels/train/0003_pro_0003_lig.npy,1
4,548,./data/processed_data/pro_lig_voxels/train/0548_pro_0004_lig.npy,0
4,186,./data/processed_data/pro_lig_voxels/train/0186_pro_0004_lig.npy,0
4,2275,./data/processed_data/pro_lig_voxels/train/2275_pro_0004_lig.npy,0
4,1579,./data/processed_data/pro_lig_voxels/train/1579_pro_0004_lig.npy,0
4,4,./data/processed_data/pro_lig_voxels/train/0004_pro_0004_lig.npy,1
5,586,./data/processed_data/pro_lig_voxels/train/0586_pro_0005_lig.npy,0
5,1201,./data/processed_data/pro_lig_voxels/train/1201_pro_0005_lig.npy,0
5,193,./data/processed_data/pro_lig_voxels/train/0193_pro_0005_lig.npy,0
5,1713,./data/processed_data/pro_lig_voxels/train/1713_pro_0005_lig.npy,0
5,5,./data/processed_data/pro_lig_voxels/train/0005_pro_0005_lig.npy,1
6,2275,./data/processed_data/pro_lig_voxels/train/2275_pro_0006_lig.npy,0
6,1421,./data/processed_data/pro_lig_voxels/train/1421_pro_0006_lig.npy,0
6,1153,./data/processed_data/pro_lig_voxels/train/1153_pro_0006_lig.npy,0
6,1125,./data/processed_data/pro_lig_voxels/train/1125_pro_0006_lig.npy,0
6,6,./data/processed_data/pro_lig_voxels/train/0006_pro_0006_lig.npy,1
7,1122,./data/processed_data/pro_lig_voxels/train/1122_pro_0007_lig.npy,0
7,1273,./data/processed_data/pro_lig_voxels/train/1273_pro_0007_lig.npy,0
7,299,./data/processed_data/pro_lig_voxels/train/0299_pro_0007_lig.npy,0
7,1078,./data/processed_data/pro_lig_voxels/train/1078_pro_0007_lig.npy,0
7,7,./data/processed_data/pro_lig_voxels/train/0007_pro_0007_lig.npy,1
8,2131,./data/processed_data/pro_lig_voxels/train/2131_pro_0008_lig.npy,0
8,2182,./data/processed_data/pro_lig_voxels/train/2182_pro_0008_lig.npy,0
8,1193,./data/processed_data/pro_lig_voxels/train/1193_pro_0008_lig.npy,0
8,462,./data/processed_data/pro_lig_voxels/train/0462_pro_0008_lig.npy,0
8,8,./data/processed_data/pro_lig_voxels/train/0008_pro_0008_lig.npy,1
